r,theta,mass
0.05,0.03,0.557329
0.05,0.04,0.557173
0.05,0.05,0.556849
0.05,0.06,0.557299
0.05,0.07,0.556739
0.05,0.08,0.556349
0.05,0.09,0.556813
0.05,0.1,0.556208
0.05,0.11,0.556267
0.05,0.12,0.555824
0.05,0.13,0.55623
0.05,0.14,0.555608
0.05,0.15,0.555897
0.05,0.16,0.557116
0.05,0.17,0.556805
0.05,0.18,0.555245
0.05,0.19,0.556059
0.05,0.2,0.555838
0.05,0.21,0.555909
0.05,0.22,0.556218
0.05,0.23,0.554732
0.05,0.24,0.554893
0.05,0.25,0.554896
0.05,0.26,0.55588
0.05,0.27,0.55657
0.05,0.28,0.555613
0.05,0.29,0.554806
0.05,0.3,0.555571
0.05,0.31,0.555153
0.05,0.32,0.555203
0.05,0.33,0.555267
0.05,0.34,0.556842
0.05,0.35,0.555203
0.05,0.36,0.554494
0.05,0.37,0.556053
0.05,0.38,0.555803
0.05,0.39,0.555816
0.05,0.4,0.555338
0.05,0.41,0.555863
0.05,0.42,0.556226
0.05,0.43,0.555997
0.05,0.44,0.555504
0.05,0.45,0.555635
0.05,0.46,0.555645
0.05,0.47,0.555932
0.05,0.48,0.556343
0.05,0.49,0.555702
0.05,0.5,0.555321
0.05,0.51,0.555233
0.05,0.52,0.555253
0.05,0.53,0.555412
0.05,0.54,0.556737
0.05,0.55,0.555778
0.05,0.56,0.55617
0.05,0.57,0.555571
0.05,0.58,0.556021
0.05,0.59,0.556008
0.05,0.6,0.555181
0.05,0.61,0.556012
0.05,0.62,0.556151
0.05,0.63,0.556491
0.05,0.64,0.556275
0.05,0.65,0.556263
0.05,0.66,0.555793
0.05,0.67,0.555988
0.05,0.68,0.556037
0.05,0.69,0.556522
0.05,0.7,0.556243
0.05,0.71,0.55689
0.05,0.72,0.55545
0.05,0.73,0.557644
0.05,0.74,0.558034
0.05,0.75,0.557683
0.05,0.76,0.557138
0.05,0.77,0.557633
0.05,0.78,0.557378
0.06,0,0.55323
0.06,0.01,0.553234
0.06,0.02,0.552693
0.06,0.03,0.552812
0.06,0.04,0.55215
0.06,0.05,0.552766
0.06,0.06,0.551588
0.06,0.07,0.553612
0.06,0.08,0.552275
0.06,0.09,0.551843
0.06,0.1,0.551748
0.06,0.11,0.550754
0.06,0.12,0.552223
0.06,0.13,0.551516
0.06,0.14,0.552781
0.06,0.15,0.551772
0.06,0.16,0.550599
0.06,0.17,0.551816
0.06,0.18,0.55039
0.06,0.19,0.549927
0.06,0.2,0.550326
0.06,0.21,0.551116
0.06,0.22,0.55045
0.06,0.23,0.549969
0.06,0.24,0.550271
0.06,0.25,0.55099
0.06,0.26,0.550554
0.06,0.27,0.550832
0.06,0.28,0.549856
0.06,0.29,0.55025
0.06,0.3,0.549828
0.06,0.31,0.549389
0.06,0.32,0.550175
0.06,0.33,0.548716
0.06,0.34,0.550689
0.06,0.35,0.550243
0.06,0.36,0.550074
0.06,0.37,0.5491
0.06,0.38,0.550468
0.06,0.39,0.550809
0.06,0.4,0.550618
0.06,0.41,0.55156
0.06,0.42,0.550539
0.06,0.43,0.550745
0.06,0.44,0.549851
0.06,0.45,0.550318
0.06,0.46,0.54969
0.06,0.47,0.55057
0.06,0.48,0.549274
0.06,0.49,0.550914
0.06,0.5,0.550095
0.06,0.51,0.551386
0.06,0.52,0.550833
0.06,0.53,0.550083
0.06,0.54,0.550155
0.06,0.55,0.550127
0.06,0.56,0.551494
0.06,0.57,0.550347
0.06,0.58,0.550725
0.06,0.59,0.551572
0.06,0.6,0.550039
0.06,0.61,0.550888
0.06,0.62,0.550843
