x,y,mass
0.04,0.7,0.52348
0.04,0.71,0.524748
0.04,0.72,0.526519
0.04,0.73,0.52735
0.04,0.74,0.529699
0.04,0.75,0.530408
0.04,0.76,0.531205
0.04,0.77,0.533878
0.04,0.78,0.535743
0.04,0.79,0.53661
0.04,0.8,0.537799
0.04,0.81,0.54168
0.04,0.82,0.54278
0.04,0.83,0.544645
0.04,0.84,0.545521
0.04,0.85,0.548099
0.04,0.86,0.549949
0.04,0.87,0.550606
0.04,0.88,0.55242
0.04,0.89,0.555622
0.04,0.9,0.557389
0.04,0.91,0.559626
0.04,0.92,0.560912
0.04,0.93,0.561926
0.04,0.94,0.56427
0.04,0.95,0.566672
0.04,0.96,0.568349
0.04,0.97,0.569918
0.04,0.98,0.571468
0.04,0.99,0.573383
0.05,0,0.574355
0.05,0.01,0.572826
0.05,0.02,0.570667
0.05,0.03,0.568812
0.05,0.04,0.566137
0.05,0.05,0.56518
0.05,0.06,0.562394
0.05,0.07,0.561303
0.05,0.08,0.558435
0.05,0.09,0.556767
0.05,0.1,0.554697
0.05,0.11,0.552464
0.05,0.12,0.550321
0.05,0.13,0.547201
0.05,0.14,0.546817
0.05,0.15,0.544245
0.05,0.16,0.542856
0.05,0.17,0.541348
0.05,0.18,0.539247
0.05,0.19,0.536534
0.05,0.2,0.535917
0.05,0.21,0.533743
0.05,0.22,0.53223
0.05,0.23,0.531145
0.05,0.24,0.527747
0.05,0.25,0.526367
0.05,0.26,0.525816
0.05,0.27,0.522829
0.05,0.28,0.521692
0.05,0.29,0.520902
0.05,0.3,0.519868
0.05,0.31,0.518349
0.05,0.32,0.51675
0.05,0.33,0.514541
0.05,0.34,0.514468
0.05,0.35,0.512995
0.05,0.36,0.512826
0.05,0.37,0.510838
0.05,0.38,0.508647
0.05,0.39,0.50902
0.05,0.4,0.50787
0.05,0.41,0.507569
0.05,0.42,0.507284
0.05,0.43,0.506742
0.05,0.44,0.506654
0.05,0.45,0.504762
0.05,0.46,0.504731
0.05,0.47,0.505521
